"","SEQN","INDFMMPI","INDFMMPC"
"810",110072,0.98,1
"811",110073,1.11,1
"812",110074,4.39,3
"813",110075,1.63,2
"814",110076,1.41,2
"815",110077,0.38,1
"816",110078,0.58,1
"817",110079,4.43,3
"818",110080,4.66,3
"819",110081,0.67,1
"820",110082,NA,NA
"821",110083,NA,NA
"822",110084,NA,3
"823",110085,2.22,3
"824",110086,0,1
"825",110087,NA,NA
"826",110088,0.61,1
"827",110089,NA,NA
"828",110090,5,3
"829",110091,1,1
"830",110092,4.43,3
"831",110093,NA,1
"832",110094,NA,9
"833",110095,NA,3
"834",110096,0,1
"835",110097,0,1
"836",110098,NA,NA
"837",110099,3.94,3
"838",110100,2.68,3
"839",110101,0.57,1
"840",110102,1.71,2
"841",110103,4.88,3
"842",110104,1.46,2
"843",110105,2.47,3
"844",110106,1.88,3
"845",110107,NA,NA
"846",110108,NA,9
"847",110109,2.35,3
"848",110110,0.63,1
"849",110111,0.53,1
"850",110112,5,3
"851",110113,NA,NA
"852",110114,3.69,3
"853",110115,0.77,1
"854",110116,2.88,3
"855",110117,NA,NA
"856",110118,1.07,1
"857",110119,5,3
"858",110120,1.09,1
"859",110121,0.88,1
"860",110122,0.28,1
"861",110123,NA,3
"862",110124,0.85,1
"863",110125,1.33,2
"864",110126,1.29,1
"865",110127,2.89,3
"866",110128,2.44,3
"867",110129,0.29,1
"868",110130,0.84,1
"869",110131,0.8,1
"870",110132,0.88,1
"871",110133,1.94,3
"872",110134,1.19,1
"873",110135,4.78,3
"874",110136,2.25,3
"875",110137,2.39,3
"876",110138,0,1
"877",110139,NA,9
"878",110140,0.6,1
"879",110141,0.5,1
"880",110142,4.5,3
"881",110143,1.07,1
"882",110144,NA,1
"883",110145,5,3
"884",110146,0.71,1
"885",110147,5,3
"886",110148,1.09,1
"887",110149,0.68,1
"888",110150,0,1
"889",110151,4.43,3
"890",110152,1.03,1
"891",110153,3.65,3
"892",110154,0.49,1
"893",110155,0.92,1
"894",110156,0.46,1
"895",110157,4.97,3
"896",110158,2.44,3
"897",110159,1.78,2
"898",110160,1.65,2
"899",110161,0.71,1
"900",110162,1.91,3
"901",110163,0.83,1
"902",110164,1.88,3
"903",110165,3.07,3
"904",110166,NA,1
"905",110167,0.21,1
"906",110168,2.84,3
"907",110169,1.97,3
"908",110170,2.91,3
"909",110171,0,1
"910",110172,1.5,2
"911",110173,2.87,3
"912",110174,1.79,2
"913",110175,1.19,1
"914",110176,3.23,3
"915",110177,1.93,3
"916",110178,5,3
"917",110179,1.86,3
"918",110180,NA,3
"919",110181,5,3
"920",110182,2.59,3
"921",110183,NA,2
"922",110184,1.99,3
"923",110185,2.36,3
"924",110186,0.81,1
"925",110187,0,1
"926",110188,2.35,3
"927",110189,1.32,2
"928",110190,1.73,2
"929",110191,NA,NA
"930",110192,3.46,3
"931",110193,0.8,1
"932",110194,1.4,2
"933",110195,2.04,3
"934",110196,1.46,2
"935",110197,3.9,3
"936",110198,NA,NA
"937",110199,5,3
"938",110200,NA,3
"939",110201,3.41,3
"940",110202,1.1,1
"941",110203,3.73,3
"942",110204,5,3
"943",110205,5,3
"944",110206,NA,1
"945",110207,NA,NA
"946",110208,3.17,3
"947",110209,2.34,3
"948",110210,0.48,1
"949",110211,NA,2
"950",110212,5,3
"951",110213,1.22,1
"952",110214,3.65,3
"953",110215,NA,1
"954",110216,0.9,1
"955",110217,5,3
"956",110218,2.76,3
"957",110219,2.82,3
"958",110220,1.46,2
"959",110221,NA,3
"960",110222,NA,NA
"961",110223,NA,NA
"962",110224,0.92,1
"963",110225,1.14,1
"964",110226,2.19,3
"965",110227,1.09,1
"966",110228,5,3
"967",110229,2.92,3
"968",110230,1.86,3
"969",110231,NA,NA
"970",110232,NA,3
"971",110233,NA,3
"972",110234,1.19,1
"973",110235,4.27,3
"974",110236,1.67,2
"975",110237,0.66,1
"976",110238,0.79,1
"977",110239,4.89,3
"978",110240,1.46,2
"979",110241,3.65,3
"980",110242,NA,NA
"981",110243,0,1
"982",110244,0.95,1
"983",110245,3.9,3
"984",110246,NA,3
"985",110247,1.99,3
"986",110248,1.69,2
"987",110249,1.66,2
"988",110250,1.39,2
"989",110251,0.74,1
"990",110252,1.03,1
"991",110253,5,3
"992",110254,2.13,3
"993",110255,0.69,1
"994",110256,5,3
"995",110257,0.82,1
"996",110258,2.1,3
"997",110259,0,1
"998",110260,1.22,1
"999",110261,5,3
"1000",110262,1.71,2
"1001",110263,2.35,3
"1002",110264,NA,2
"1003",110265,3.65,3
"1004",110266,NA,9
"1005",110267,2.6,3
"1006",110268,1.82,2
"1007",110269,1.27,1
"1008",110270,1.05,1
"1009",110271,1.96,3
"1010",110272,2.35,3
"1011",110273,2.64,3
"1012",110274,1.65,2
"1013",110275,NA,1
"1014",110276,2.94,3
"1015",110277,NA,NA
"1016",110278,1.03,1
"1017",110279,1.04,1
"1018",110280,4.5,3
"1019",110281,NA,NA
"1020",110282,5,3
"1021",110283,1.91,3
"1022",110284,0.73,1
"1023",110285,NA,1
"1024",110286,1.98,3
"1025",110287,NA,3
"1026",110288,0.94,1
"1027",110289,2.93,3
"1028",110290,0.74,1
"1029",110291,5,3
"1030",110292,2.64,3
"1031",110293,1.06,1
"1032",110294,1.03,1
"1033",110295,1.64,2
"1034",110296,2.13,3
"1035",110297,0,1
"1036",110298,4.19,3
"1037",110299,5,3
"1038",110300,0.7,1
"1039",110301,0.71,1
"1040",110302,2.84,3
"1041",110303,NA,2
"1042",110304,NA,NA
"1043",110305,NA,3
"1044",110306,0.19,1
"1045",110307,1.78,2
"1046",110308,3.79,3
"1047",110309,3.08,3
"1048",110310,2.15,3
"1049",110311,1.7,2
"1050",110312,2.35,3
"1051",110313,0.66,1
"1052",110314,NA,NA
"1053",110315,1.07,1
"1054",110316,1.02,1
"1055",110317,1.71,2
"1056",110318,3.65,3
"1057",110319,2.68,3
"1058",110320,2.31,3
"1059",110321,2.76,3
"1060",110322,0.31,1
"1061",110323,NA,NA
"1062",110324,1.99,3
"1063",110325,2.08,3
"1064",110326,5,3
"1065",110327,2.04,3
"1066",110328,NA,NA
"1067",110329,1.54,2
"1068",110330,5,3
"1069",110331,0.98,1
"1070",110332,3.84,3
"1071",110333,0.4,1
"1072",110334,3.41,3
"1073",110335,0.73,1
"1074",110336,3.86,3
"1075",110337,0.62,1
"1076",110338,0,1
"1077",110339,1.83,2
"1078",110340,1.64,2
"1079",110341,0.58,1
"1080",110342,NA,2
"1081",110343,2.41,3
"1082",110344,0.75,1
"1083",110345,1.45,2
"1084",110346,1.26,1
"1085",110347,4.27,3
"1086",110348,3.7,3
"1087",110349,4.66,3
"1088",110350,2.11,3
"1089",110351,NA,NA
"1090",110352,2.58,3
"1091",110353,1.4,2
"1092",110354,1.39,2
"1093",110355,0.13,1
"1094",110356,NA,NA
"1095",110357,0.96,1
"1096",110358,1.63,2
"1097",110359,2.19,3
"1098",110360,0.84,1
"1099",110361,0,1
"1100",110362,1.59,2
"1101",110363,NA,3
"1102",110364,1.39,2
"1103",110365,1,1
"1104",110366,NA,NA
"1105",110367,NA,3
"1106",110368,0.89,1
"1107",110369,0.31,1
"1108",110370,NA,NA
"1109",110371,2.25,3
"1110",110372,1.02,1
"1111",110373,0.82,1
"1112",110374,1.21,1
"1113",110375,3.35,3
"1114",110376,5,3
"1115",110377,2.77,3
"1116",110378,4.3,3
"1117",110379,2.02,3
"1118",110380,0.69,1
"1119",110381,1.77,2
"1120",110382,NA,NA
"1121",110383,0.82,1
"1122",110384,2.76,3
"1123",110385,NA,NA
"1124",110386,1.4,2
"1125",110387,2.94,3
"1126",110388,5,3
"1127",110389,5,3
"1128",110390,5,3
"1129",110391,0.94,1
"1130",110392,1.11,1
"1131",110393,NA,1
"1132",110394,2.59,3
"1133",110395,1.29,1
"1134",110396,1.18,1
"1135",110397,1.44,2
"1136",110398,5,3
"1137",110399,4.7,3
"1138",110400,4.09,3
"1139",110401,0.29,1
"1140",110402,3.44,3
"1141",110403,3.9,3
"1142",110404,1.73,2
"1143",110405,0.81,1
"1144",110406,2.36,3
"1145",110407,2.59,3
"1146",110408,1.98,3
"1147",110409,0.73,1
